[0.3767942585840378, 0.35120298179477927, -0.8048439898381352, -0.906909891491632, -0.12456488032589053, -0.3458979217858491, -0.8664772380202637, 0.9337690004562398]|6560|44
[0.19482390112340697, 0.08016750432275122, -0.8048439898381352, -0.906909891491632, -0.12456488032589053, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|51920|138
[0.19482390112340697, 0.35120298179477927, -0.7683327737428949, -0.906909891491632, -0.12456488032589053, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|24840|95
[0.49358106685699976, -0.7458847113111609, -0.8048439898381352, -0.906909891491632, -0.12456488032589053, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|66240|153
[0.19482390112340697, 0.35120298179477927, -0.7683327737428949, -0.906909891491632, -0.7592355077449449, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|51800|141
[0.49358106685699976, -0.0807933077569103, -0.8048439898381352, -0.906909891491632, 0.7125085480376319, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|167300|266
[0.19482390112340697, 0.35120298179477927, -0.8048439898381352, -0.906909891491632, -0.12456488032589053, -0.3458979217858491, -0.533928803756039, 0.9337690004562398]|163220|264
[0.49358106685699976, 0.35120298179477927, -0.8048439898381352, -0.5837546514829814, 0.7125085480376319, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|206540|300
[0.19482390112340697, 0.35120298179477927, -0.8048439898381352, -0.5837546514829814, -0.12456488032589053, -0.3458979217858491, -0.5534751762006098, 0.32430572955644843]|136360|224
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.7125085480376319, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|119680|225
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.7125085480376319, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|91160|191
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.7125085480376319, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|132460|232
[-0.2965684245501419, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, -0.36680531563017005, -0.3458979217858491, -0.5534751762006098, 0.9337690004562398]|65200|149
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.7125085480376319, -0.41077252580998924, -0.5534751762006098, 0.9337690004562398]|133380|236
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.6032141288948405, -0.41077252580998924, -0.5534751762006098, 0.9337690004562398]|83520|185
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.6032141288948405, -0.41077252580998924, -0.5534751762006098, 0.9337690004562398]|481620|459
[0.49358106685699976, 0.06586974444981952, -0.8048439898381352, -0.5837546514829814, 0.6032141288948405, -0.3458979217858491, -0.41836966589234725, 0.9337690004562398]|377400|377
[0.49358106685699976, -0.8805643130840151, -0.8048439898381352, -0.5837546514829814, 0.6032141288948405, -0.6033285341661534, -0.6505207350259432, 0.9337690004562398]|130260|222
[0.49358106685699976, -0.699601367592493, -0.31224963599482103, -0.5837546514829814, 0.3877182109532955, -0.3458979217858491, -0.41836966589234725, 0.9337690004562398]|116320|211
[0.49358106685699976, -0.8805643130840151, -0.4778203375923491, -0.5837546514829814, 0.6032141288948405, -0.6033285341661534, -0.41836966589234725, 0.9337690004562398]|286600|359
[0.49358106685699976, -0.699601367592493, -0.4778203375923491, -0.5837546514829814, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|159400|252
[0.49358106685699976, -0.4243234766366293, -0.8048439898381352, -0.5837546514829814, 0.6032141288948405, -0.6033285341661534, -0.41836966589234725, 0.9337690004562398]|557820|468
[0.49358106685699976, -0.4243234766366293, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|699920|547
[0.49358106685699976, -0.4243234766366293, -0.7344783121156235, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|401840|412
[0.49358106685699976, -0.4243234766366293, -0.8048439898381352, -0.3224486357632037, -0.22162194740296193, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|691860|544
[0.49358106685699976, -0.369862561440792, -0.8048439898381352, -0.3224486357632037, 0.04316523519623772, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|301640|356
[0.49358106685699976, -0.4243234766366293, -0.8048439898381352, -0.3224486357632037, 0.8840934241305616, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|491540|461
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|8774640|2001
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|1696540|823
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.8840934241305616, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|5054300|1445
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|1975340|908
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|3628340|1231
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|3265920|1170
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|1867500|911
[-0.14756287683616054, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, -0.28344338899079946, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|919140|614
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|1667740|844
[0.49358106685699976, -0.9635322692420307, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|2014940|903
[0.49358106685699976, -0.6769075979534442, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|1936760|915
[0.49358106685699976, -0.6769075979534442, -0.8048439898381352, -0.3224486357632037, 0.6032141288948405, -0.9979995987465358, -0.41836966589234725, 0.9337690004562398]|599440|495
